Timestamp,From Bank,Account,To Bank,Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:28,01674,800547910,01674,800547910,10.22,US Dollar,10.22,US Dollar,Reinvestment,0
2022/09/01 00:27,02843,8004E6490,001,800547FD0,92780.42,US Dollar,92780.42,US Dollar,Cheque,0
2022/09/01 00:18,02843,8004E6490,001,800547FD0,23456.07,US Dollar,23456.07,US Dollar,Credit Card,0
2022/09/01 00:24,02843,8004E6490,001,800547FD0,34492.24,US Dollar,34492.24,US Dollar,Cash,0
2022/09/01 00:07,03555,800548780,03555,800548780,759.89,US Dollar,759.89,US Dollar,Reinvestment,0
2022/09/01 11:24,0210185,803AF9770,0210185,803AF9770,1394.45,Yen,1394.45,Yen,Reinvestment,0
2022/09/01 11:03,015,803AA3850,021,803AFA770,12491.87,Yen,12491.87,Yen,Cheque,0
2022/09/01 11:12,015,803AA3850,021,803AFA770,56805.50,Yen,56805.50,Yen,Cash,0
2022/09/01 11:12,039927,803AFCBA0,039927,803AFCBA0,1729.17,Yen,1729.17,Yen,Reinvestment,0
2022/09/01 11:09,021,803834780,019925,803AFE300,11989.27,Yen,11989.27,Yen,Cheque,0
2022/09/01 11:17,021,803834780,019925,803AFE300,34923.01,Yen,34923.01,Yen,Credit Card,0
2022/09/01 11:22,021,803834780,019925,803AFE300,50409.70,Yen,50409.70,Yen,Cash,0
2022/09/01 11:17,009679,803B00690,009679,803B00690,2543.94,Yen,2543.94,Yen,Reinvestment,0
2022/09/01 11:13,070,100428738,0010057,803AB8EB0,18382.13,Yen,18382.13,Yen,Cheque,0
2022/09/01 11:03,070,100428738,0010057,803AB8EB0,839.46,Yen,839.46,Yen,Credit Card,0
2022/09/01 11:11,070,100428738,0010057,803AB8EB0,418.13,Yen,418.13,Yen,Cash,0
2022/09/01 11:18,0210261,803B0EC40,0210261,803B0EC40,10867444.98,Yen,10867444.98,Yen,Reinvestment,0
2022/09/01 11:29,035619,803B10AA0,035619,803B10AA0,19359.35,Yen,19359.35,Yen,Reinvestment,0
2022/09/01 11:07,039953,803B18550,0010057,803B18040,0.02,Yen,0.02,Yen,Cheque,0
2022/09/01 11:05,029467,803B2AB80,029467,803B2AB80,1692988.35,Yen,1692988.35,Yen,Reinvestment,0
2022/09/01 11:02,0210185,803B3A280,0010060,803B46FF0,7147.66,Yen,7147.66,Yen,Cheque,0
2022/09/01 11:15,0210185,803B3A280,0010060,803B46FF0,50743.01,Yen,50743.01,Yen,Credit Card,0
2022/09/01 11:27,0010099,803B4C750,0010099,803B4C750,106073959.88,Yen,106073959.88,Yen,Reinvestment,0
2022/09/01 11:02,015,803A9EDE0,021,803B448D0,38994.47,Yen,38994.47,Yen,Cheque,0
2022/09/01 11:17,015,803A9EDE0,021,803B448D0,197906.50,Yen,197906.50,Yen,Credit Card,0
2022/09/01 11:23,029467,803B65AA0,029467,803B65AA0,2133.13,Yen,2133.13,Yen,Reinvestment,0
2022/09/01 11:07,009665,803B66C50,009665,803B66C50,2151.19,Yen,2151.19,Yen,Reinvestment,0
2022/09/01 11:23,0210185,803B74720,0210185,803B74720,1645.05,Yen,1645.05,Yen,Reinvestment,0
2022/09/01 11:09,039991,803B75480,0210261,803B74BB0,0.03,Yen,0.03,Yen,Cheque,0
2022/09/01 11:03,015,8021584C0,0010099,803B7AE30,11329.50,Yen,11329.50,Yen,Cheque,0
2022/09/01 11:18,015,8021584C0,0010099,803B7AE30,18955.89,Yen,18955.89,Yen,Credit Card,0
2022/09/01 11:28,070,100428738,0010099,803B7C750,3448468.19,Yen,3448468.19,Yen,Cheque,0
2022/09/01 11:10,070,100428738,0010099,803B7C750,2263314.24,Yen,2263314.24,Yen,Credit Card,0
2022/09/01 11:08,070,100428738,0010099,803B7C750,4758314.45,Yen,4758314.45,Yen,Cash,0
2022/09/01 11:18,009679,803AB81A0,009665,803A756E0,138978.75,Yen,138978.75,Yen,Cheque,0
2022/09/01 11:01,009679,803AB81A0,009665,803A756E0,176392.88,Yen,176392.88,Yen,ACH,0
2022/09/01 11:06,015,801FB0C40,0110057,803B907F0,47256.18,Yen,47256.18,Yen,Cheque,0
2022/09/01 11:12,0010099,803AF11E0,009679,803C31A60,106300.81,Yen,106300.81,Yen,Cheque,0
2022/09/01 11:21,0010099,803AF11E0,009679,803C31A60,99171.38,Yen,99171.38,Yen,Cash,0
2022/09/01 11:04,0110057,803B3F9E0,009665,803C32A60,88621.27,Yen,88621.27,Yen,Cheque,0
2022/09/01 11:01,0110057,803B3F9E0,009665,803C32A60,40864.41,Yen,40864.41,Yen,Credit Card,0
2022/09/01 11:14,015,803C3C470,015,803C3C470,670069.04,Yen,670069.04,Yen,Reinvestment,0
2022/09/01 11:11,024,803A814A0,015,803C3E5A0,36830.73,Yen,36830.73,Yen,Cheque,0
2022/09/01 11:04,024,803A814A0,015,803C3E5A0,76479.69,Yen,76479.69,Yen,Credit Card,0
2022/09/01 11:12,024,803A814A0,015,803C3E5A0,39483.00,Yen,39483.00,Yen,ACH,0
2022/09/01 11:07,015,803C48B60,015,803C48B60,2598839.36,Yen,2598839.36,Yen,Reinvestment,0
2022/09/01 11:11,070,100428738,029467,803C49420,159130.40,Yen,159130.40,Yen,Cheque,0
2022/09/01 11:06,0010057,803B5F370,0010057,803B5F370,321.00,Yen,321.00,Yen,Reinvestment,0
2022/09/01 11:06,0010057,803CC4C00,0010057,803CC4C00,2087.81,Yen,2087.81,Yen,Reinvestment,0
2022/09/01 11:26,015,80383BE50,0010060,803D90EE0,17003.65,Yen,17003.65,Yen,Cheque,0
2022/09/01 11:01,015,80383BE50,0010060,803D90EE0,27113.96,Yen,27113.96,Yen,Credit Card,0
